Item Id;Item Name;Price;Sales;Shop Name;Commission Rate;Commission;Product Link;Offer Link
23896808101;Apontador Mini Com deposito Caixa Com 24 Unidades Leoeleo Material Escolar, Escritório;R$14,95;53;PAPER PLUS;3%;R$0,45;https://shopee.com.br/product/360093364/23896808101;https://shope.ee/3AiaWra8zr
22796074057;Bolsa Mochila Sonic Escolar Para Viagem Promoção Volta As Aulas Top Material Nylon Reforçado Unissex;R$71,90;36;Todo Dia On;3%;R$2,16;https://shopee.com.br/product/691276325/22796074057;https://shope.ee/3L20jAZVeu
22430335999;1pc Fita De Correção De Formato De Pata De Gato/Grande Capacidade/Material Escolar;R$1,59;84;Papelaria/stationery.store;3%;R$0,05;https://shopee.com.br/product/958705739/22430335999;https://shope.ee/3VLQvTYsJx
22133983646;Apontador com Depósito e Borracha Fun Bichinhos Cis Papelaria Material Escolar;R$11,20;53;Papery;3%;R$0,34;https://shopee.com.br/product/507527619/22133983646;https://shope.ee/3fer7mYEz0
20197197640;1 Pcs Gel Canetas Caneta Fofa Kawaii Material Escolar Preto Conjunto De Papelaria Cartoon Infantil Menina Menino Tinta Preta 0.5mm .;R$3,00;97;schoolpens.br;3%;R$0,09;https://shopee.com.br/product/377012346/20197197640;https://shope.ee/3pyHK5Xbe3
19797310747;Apagador Retráctil de Garra de Gato de 1 peça, Apagador Fofo Adequado para Apagador de Lápis Deslizante Escolar Apagador Estético Material Escolar Material Escolar Estético Material Escolar Material Escolar Escrita Escrita Estudantil Papelaria;R$9,99;35;material escolar.br;3%;R$0,30;https://shopee.com.br/product/715039115/19797310747;https://shope.ee/1LGwLUh7ia
21298661540;Caderno Universitário Espiral ZIP PRETO 10 Matérias 160 Folhas (1, 2, 3 e 4 Unidades) - Tilibra | Material Escolar | Papelaria;R$27,00;34;Schuster Papelaria;3%;R$0,81;https://shopee.com.br/product/390780728/21298661540;https://shope.ee/1VaMXngUNd
18227625937;Massinha de modelar 12 cores Massa Material Escolar volta as aulas;R$8,90;109;Papelaria Olaria;3%;R$0,27;https://shopee.com.br/product/818334009/18227625937;https://shope.ee/1ftmk6fr2g
17861111282;Giz De Cera Jumbo Grosso Faber Castel 12 Cores Clássicas  / Papelaria  / Material Escolar;R$28,00;83;Papelaria Lords Gamer;3%;R$0,84;https://shopee.com.br/product/717443900/17861111282;https://shope.ee/1qDCwPfDhj
19670780276;Etiqueta Adesiva ou Chaveiro Escolar Modelos Desenho Animação Lápis Cadernos Canetinhas Material Escolar em Geral;R$10,99;43;PixelPrint;3%;R$0,33;https://shopee.com.br/product/385774827/19670780276;https://shope.ee/20Wd8ieaMm
16365236682;Kit Lápis Preto de Escrever com Borracha  Molin - Homem Aranha / Papelaria  / Material Escolar;R$23,90;63;Papelaria Lords Gamer;3%;R$0,72;https://shopee.com.br/product/717443900/16365236682;https://shope.ee/2Aq3L1dx1p
14148767332;Material Escolar Universitário Caderno 10 Matérias + Kit com 10 itens Kit-002;R$48,98;28;RSM Acessorios;3%;R$1,47;https://shopee.com.br/product/333704650/14148767332;https://shope.ee/2L9TXKdJgs
